Time,Heading angle,CoG position/X,CoG position/Y,CoG position/Yaw,CoG Acceleration/X,CoG Acceleration/Y,Speed/X,Speed/Y,Slip angle
s,бу,m,m,бу,m/s?,m/s?,km/h,km/h,бу
0.002,-180,-131.793,-103.858,-180,0.362569,0.518122,4.00023,0.00318932,0
0.102,-179.979,-131.905,-103.859,-179.979,6.04012,0.117014,4.05661,0.021955,0
0.2015,-179.957,-132.018,-103.86,-179.957,-6.10086,-0.10184,4.10246,0.0242881,0
0.3015,-179.934,-132.133,-103.86,-179.934,-5.80596,-0.105997,4.15702,0.0225044,0
0.4015,-179.911,-132.249,-103.861,-179.911,-5.57255,-0.0954948,4.20902,0.0209905,0
0.502,-179.887,-132.368,-103.862,-179.887,5.7596,0.102761,4.26856,0.022019,0
0.6015,-179.864,-132.486,-103.863,-179.864,-5.44163,-0.0918051,4.30473,0.0225039,0
0.702,-179.84,-132.607,-103.864,-179.84,5.61806,0.102226,4.35895,0.0228375,0
0.8015,-179.816,-132.728,-103.865,-179.816,-5.32609,-0.0870697,4.39069,0.0211076,0
0.9015,-179.799,-132.851,-103.866,-179.799,-5.27923,-0.065243,4.43045,0.0136368,0
1.002,-179.785,-132.975,-103.866,-179.785,5.44035,0.0553075,4.47792,0.0116084,0
1.1015,-179.772,-133.099,-103.867,-179.772,-5.19637,-0.0456278,4.50391,0.0125035,0
1.2025,-179.758,-133.226,-103.868,-179.758,-5.1588,-0.0480891,4.53825,0.0130395,0
1.3015,-179.745,-133.351,-103.869,-179.745,-5.12411,-0.0481141,4.57027,0.012965,0
1.402,-179.731,-133.48,-103.87,-179.731,5.25794,0.0540959,4.61053,0.0130882,0
1.5015,-179.717,-133.607,-103.871,-179.717,-5.06054,-0.0470238,4.63039,0.0131162,0
1.602,-179.703,-133.737,-103.872,-179.703,5.18268,0.0535765,4.66767,0.0132933,0
1.702,-179.689,-133.867,-103.873,-179.689,5.14816,0.0533806,4.69427,0.0133622,0
1.802,-179.675,-133.998,-103.874,-179.675,5.1155,0.0532008,4.71967,0.0134341,0
1.9015,-179.661,-134.128,-103.875,-179.661,-4.95265,-0.0460857,4.7348,0.0134149,0
2.0025,-179.646,-134.261,-103.877,-179.646,-4.9287,-0.0458589,4.7583,0.0134819,0
2.102,-179.632,-134.393,-103.878,-179.632,4.99608,0.052747,4.7837,0.0136157,0
2.2015,-179.618,-134.526,-103.879,-179.618,-4.9019,-0.0456315,4.79364,0.0135796,0
2.3015,-179.603,-134.659,-103.88,-179.603,-4.86691,-0.0445179,4.81446,0.0136226,0
2.4015,-179.589,-134.793,-103.882,-179.589,-4.85214,-0.0451923,4.83446,0.0136866,0
2.502,-179.574,-134.929,-103.883,-179.574,4.93686,0.0519797,4.86255,0.0138264,0
2.6015,-179.563,-135.063,-103.884,-179.563,-4.81429,-0.0378523,4.87217,0.00416302,0
2.702,-179.573,-135.2,-103.885,-179.573,4.89169,-0.0703339,4.89867,-0.0136668,0
2.802,-179.586,-135.336,-103.886,-179.586,4.8742,-0.0405543,4.91575,-0.0154331,0
2.9015,-179.6,-135.472,-103.886,-179.6,-4.76231,0.0450347,4.92351,-0.0127373,0
3.002,-179.614,-135.61,-103.887,-179.614,4.83371,-0.0489558,4.94815,-0.0126393,0
3.102,-179.627,-135.747,-103.887,-179.627,4.81523,-0.0478955,4.96352,-0.0131116,0
3.202,-179.641,-135.885,-103.888,-179.641,4.7982,-0.0469664,4.97852,-0.0131277,0
3.3025,-179.655,-136.024,-103.888,-179.655,-4.6914,0.040655,4.98544,-0.0130213,0
3.4015,-179.669,-136.162,-103.889,-179.669,-4.61812,0.0396604,5.00461,-0.0130408,0
3.5015,-179.683,-136.301,-103.889,-179.683,-4.45594,0.0385157,5.03765,-0.01312,0
3.602,-179.697,-136.443,-103.89,-179.697,4.5848,-0.0445543,5.10279,-0.0133336,0
3.702,-179.711,-136.586,-103.89,-179.711,4.38701,-0.0422298,5.19412,-0.0135552,0
3.802,-179.726,-136.732,-103.89,-179.726,4.03951,-0.0384123,5.33111,-0.0138876,0
3.9015,-179.741,-136.881,-103.891,-179.741,-2.1363,0.020361,5.52051,-0.0143162,0
4.0015,-179.757,-137.038,-103.891,-179.757,-0.551686,0.00624722,5.78152,-0.0149819,0
4.1025,-179.773,-137.205,-103.891,-179.773,0.934035,-0.00734646,6.09901,-0.0157957,0
4.2025,-179.791,-137.379,-103.891,-179.791,1.04576,-0.00821522,6.4573,-0.0166894,0
4.302,-179.809,-137.563,-103.892,-179.809,1.12602,-0.00909873,6.84621,-0.0176556,0
4.4015,-179.976,-137.758,-103.892,-179.828,1.18195,-0.010013,7.26022,-0.0186822,-0.147436
4.5025,-179.996,-137.968,-103.892,-179.849,1.28846,-0.0108478,7.70715,-0.0196878,-0.146363
4.602,-180.017,-138.188,-103.892,-179.871,1.39996,-0.0122645,8.19041,-0.0208015,-0.145518
4.7015,-180.039,-138.421,-103.892,-179.894,1.46494,-0.0136627,8.70583,-0.0220465,-0.145099
4.8015,-180.064,-138.671,-103.891,-179.919,1.5202,-0.014994,9.24343,-0.0233439,-0.144704
4.9025,-180.089,-138.938,-103.891,-179.945,1.54821,-0.016414,9.80163,-0.0246656,-0.144191
5.002,-180.116,-139.216,-103.891,-179.973,1.54045,-0.0178685,10.3563,-0.02597,-0.143686
5.102,-180.145,-139.512,-103.89,179.998,1.46043,-0.0192747,10.9001,-0.0272526,-0.143261
5.2025,-180.176,-139.823,-103.889,179.967,1.29608,-0.0203257,11.3996,-0.0284529,-0.143018
